,season,team_id,efg_pct-season,ts_pct-season,fg_pct-season,fg2_pct-season,fg3_pct-season,ft_pct-season,fg_per_g-season,fga_per_g-season,fg2_per_g-season,fg2a_per_g-season,fg3_per_g-season,fg3a_per_g-season,ft_per_g-season,fta_per_g-season,orb_per_g-season,drb_per_g-season,trb_per_g-season,ast_per_g-season,stl_per_g-season,blk_per_g-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,efg_pct-playoffs,ts_pct-playoffs,fg_pct-playoffs,fg2_pct-playoffs,fg3_pct-playoffs,ft_pct-playoffs,fg_per_g-playoffs,fga_per_g-playoffs,fg2_per_g-playoffs,fg2a_per_g-playoffs,fg3_per_g-playoffs,fg3a_per_g-playoffs,ft_per_g-playoffs,fta_per_g-playoffs,orb_per_g-playoffs,drb_per_g-playoffs,trb_per_g-playoffs,ast_per_g-playoffs,stl_per_g-playoffs,blk_per_g-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs
30,1984,LAL,0.5224615384615384,0.5623846153846154,0.5265748031496064,0.5370558375634518,0.2258064516129032,0.7476923076923078,53.5,101.6,52.9,98.5,0.7,3.1,24.3,32.5,16.1,36.7,52.8,34.5,10.2,6.5,22.5,30.2,132.5,-13.100000000000001,0.4988333333333333,0.5481666666666667,0.5284974093264249,0.5377155172413793,0.2894736842105263,0.7192429022082019,51.0,96.5,49.9,92.8,1.1,3.8,22.799999999999997,31.7,14.9,32.4,47.3,31.3,8.6,7.2,17.6,30.3,125.5,-10.3
31,1984,MIL,0.4935,0.5320833333333334,0.4973821989528796,0.5055187637969095,0.3404255319148936,0.7438271604938272,47.5,95.5,45.8,90.6,1.6,4.7,24.1,32.4,15.3,32.1,47.3,29.9,8.7,6.6,19.5,31.1,120.6,-1.6,0.46799999999999997,0.5234166666666666,0.4766584766584766,0.4875816993464052,0.3,0.751412429378531,38.8,81.4,37.3,76.5,1.5,5.0,26.599999999999998,35.4,13.0,31.400000000000002,44.0,23.0,7.4,5.2,18.5,31.2,105.8,-14.9
32,1984,NJN,0.4878461538461538,0.5270769230769231,0.494047619047619,0.5067079463364293,0.21621621621621623,0.7035928143712575,49.8,100.8,49.1,96.9,0.8,3.7,23.5,33.4,16.6,30.7,47.2,31.400000000000002,11.5,6.6000000000000005,22.2,31.2,123.8,-5.5,0.3741666666666667,0.4375833333333334,0.43986254295532645,0.4467065868263473,0.26829268292682934,0.6883468834688347,38.4,87.3,37.3,83.5,1.1,4.1,25.4,36.9,17.3,27.1,44.6,23.1,10.0,5.4,17.7,28.2,103.3,-22.1
33,1984,NYK,0.48023076923076924,0.5320769230769231,0.49372384937238495,0.5005359056806002,0.2173913043478261,0.7727272727272726,47.2,95.60000000000001,46.7,93.3,0.5,2.3,27.2,35.2,15.8,32.1,47.8,27.4,11.0,5.0,21.9,33.5,122.1,-1.1999999999999993,0.4738181818181818,0.5161818181818182,0.48670520231213876,0.4928909952606635,0.23809523809523808,0.7546583850931676,42.1,86.5,41.6,84.4,0.5,2.1,24.3,32.2,14.8,27.4,42.4,24.5,8.2,4.7,18.400000000000002,29.6,108.69999999999999,-5.800000000000001
34,1984,PHI,0.43091666666666667,0.4888333333333333,0.4864559819413093,0.49024110218140077,0.26666666666666666,0.7061855670103094,43.1,88.6,42.7,87.1,0.4,1.5,27.400000000000002,38.8,14.6,29.5,44.3,26.6,10.1,7.3,20.4,26.2,114.3,-14.600000000000001,0.45841666666666664,0.5071666666666667,0.47966507177033496,0.4924812030075188,0.23684210526315788,0.8758620689655172,40.1,83.6,39.3,79.8,0.8999999999999999,3.8,25.4,29.0,12.5,26.3,38.7,21.0,8.700000000000001,7.8,22.7,29.599999999999998,106.4,2.5
35,1984,PHO,0.49753846153846154,0.5394615384615384,0.5061855670103093,0.5160944206008584,0.2564102564102564,0.7549668874172186,49.1,97.0,48.1,93.2,1.0,3.9000000000000004,22.8,30.2,14.7,32.0,46.7,31.0,10.0,5.3,20.3,31.2,122.3,-9.0,0.46575000000000005,0.5135833333333334,0.49604519774011296,0.5011682242990654,0.3333333333333333,0.7624113475177305,43.9,88.5,42.9,85.60000000000001,1.0,3.0,21.5,28.2,14.2,29.9,43.9,27.4,7.8,4.8,16.1,27.8,110.69999999999999,-14.8
36,1984,POR,0.4965,0.5459999999999999,0.5069817400644469,0.513129102844639,0.13333333333333333,0.7588235294117647,47.2,93.10000000000001,46.9,91.39999999999999,0.2,1.5,25.8,34.0,16.2,28.2,44.6,27.0,10.5,5.4,19.0,28.2,120.1,-4.1,0.45899999999999996,0.5662727272727273,0.47706422018348627,0.4834905660377359,0.25000000000000006,0.7731958762886598,41.6,87.2,41.0,84.8,0.6000000000000001,2.4,30.0,38.8,16.3,25.2,41.5,22.6,7.6000000000000005,2.8000000000000003,14.1,28.8,113.7,-26.799999999999997
37,1984,SEA,0.4811428571428572,0.5323571428571429,0.48897795591182364,0.49336057201225736,0.15789473684210528,0.7793296089385475,48.8,99.8,48.3,97.9,0.30000000000000004,1.9,27.9,35.8,14.6,31.900000000000002,46.5,30.4,8.8,5.3,19.5,27.7,125.7,-17.599999999999998,0.47527272727272724,0.4968181818181818,0.4739178690344062,0.48948598130841126,0.1739130434782609,0.7166666666666667,42.7,90.10000000000001,41.9,85.6,0.8,4.6,12.9,18.0,12.6,32.300000000000004,44.9,25.6,6.2,4.6,11.5,26.5,99.0,-4.800000000000001
38,1984,UTA,0.4896666666666667,0.5341666666666667,0.4973031283710896,0.5050732807215332,0.30000000000000004,0.7832369942196532,46.1,92.69999999999999,44.8,88.7,1.2000000000000002,4.0,27.1,34.6,14.5,32.4,46.9,28.5,9.0,7.699999999999999,19.1,26.0,120.2,-14.299999999999999,0.5323333333333333,0.5669166666666666,0.4823261117445838,0.4877750611246944,0.4,0.7745664739884393,42.3,87.7,39.9,81.8,2.4,5.999999999999999,26.8,34.6,14.1,31.7,45.7,24.5,6.7,6.4,17.3,26.2,113.9,-3.4000000000000004
39,1984,WSB,0.44785714285714284,0.492,0.48481675392670154,0.49401523394994556,0.20512820512820515,0.7266881028938907,46.3,95.5,45.4,91.9,0.8,3.9,22.6,31.1,14.6,34.1,48.800000000000004,29.6,8.0,4.5,20.8,28.9,116.3,-27.599999999999998,0.4622,0.501,0.4859584859584859,0.5,0.24444444444444446,0.8469945355191256,39.8,81.9,38.8,77.6,1.1,4.5,15.5,18.3,10.2,28.7,38.7,25.0,5.5,3.9000000000000004,15.299999999999999,26.1,95.9,-16.0
