,season,player,pos_x,age_x,team_id_x,g-season,mp_per_g-season,fg_pct-season,fg3_pct-season,fg2_pct-season,fta_per_g-season,ft_pct-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,per-season,ts_pct-season,usg_pct-season,ws-season,pos_y,age_y,team_id_y,g-playoffs,mp_per_g-playoffs,fg_pct-playoffs,fg3_pct-playoffs,fg2_pct-playoffs,fta_per_g-playoffs,ft_pct-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs,per-playoffs,ts_pct-playoffs,usg_pct-playoffs,ws-playoffs
113,1982,Dan Roundfield,PF,28,ATL,61,36.3,0.466,0.2,0.467,6.1,0.76,3.0,3.4,18.6,2.3,19.5,0.527,24.6,6.5,PF,28,ATL,2,42.5,0.472,,0.472,7.0,0.571,3.0,4.0,21.0,0.9,17.0,0.498,26.6,0.1
115,1982,Alvin Scott,SF,26,PHO,81,21.5,0.497,0.0,0.5,1.8,0.73,1.2,2.1,6.0,0.7,11.7,0.546,12.9,3.8,SF,26,PHO,7,18.1,0.438,0.0,0.5,1.1,0.5,0.7,1.7,4.6,2.6,13.2,0.45,12.5,0.1
117,1982,Jack Sikma,C,26,SEA,82,37.2,0.479,0.154,0.483,6.4,0.855,2.6,3.3,19.6,3.9,20.6,0.559,22.5,12.6,C,26,SEA,8,39.4,0.445,,0.445,7.3,0.862,2.0,4.3,20.5,3.4,19.5,0.534,22.8,1.3
120,1982,Rory Sparrow,PG,23,ATL,82,31.8,0.501,0.067,0.51,1.8,0.838,1.8,2.9,10.5,0.1,13.0,0.539,15.6,5.6,PG,23,ATL,2,34.5,0.417,0.0,0.455,2.0,1.0,3.5,3.5,7.0,-3.4,8.1,0.509,14.1,-0.1
121,1982,Larry Spriggs,SF,22,HOU,4,9.3,0.636,,0.636,0.5,0.0,1.0,1.8,3.5,-3.5,11.7,0.589,17.6,0.0,SF,22,HOU,2,4.5,0.75,,0.75,0.5,0.0,0.0,1.5,3.0,11.5,27.2,0.676,21.8,0.1
125,1982,Andrew Toney,SG,24,PHI,77,24.8,0.522,0.424,0.528,4.0,0.742,2.8,3.5,16.5,-0.7,17.2,0.572,29.0,4.0,SG,24,PHI,21,33.7,0.507,0.333,0.514,4.9,0.796,3.2,4.1,21.8,1.3,17.4,0.557,28.3,1.6
127,1982,Kiki Vandeweghe,PF,23,DEN,82,33.8,0.56,0.077,0.565,4.9,0.857,2.3,2.6,21.5,0.6,18.9,0.612,22.3,7.7,PF,23,DEN,3,36.3,0.581,,0.581,6.0,1.0,2.0,2.3,22.7,5.2,22.1,0.668,20.2,0.4
130,1982,Jamaal Wilkes,SF,28,LAL,82,35.4,0.525,0.0,0.527,4.1,0.732,2.0,2.9,21.1,-0.8,16.5,0.554,23.6,7.7,SF,28,LAL,14,38.2,0.502,0.0,0.504,3.5,0.776,2.9,3.1,20.0,-1.2,13.9,0.533,22.2,0.9
131,1982,Buck Williams,PF,21,NJN,82,34.5,0.582,0.0,0.583,4.7,0.624,2.9,3.5,15.5,0.7,17.2,0.603,18.2,8.9,PF,21,NJN,2,39.5,0.538,,0.538,7.5,0.467,2.0,3.5,17.5,-0.2,16.5,0.537,19.9,0.2
133,1982,Gus Williams,PG,28,SEA,80,36.0,0.486,0.225,0.492,5.5,0.734,2.5,2.0,23.4,5.1,21.8,0.526,28.5,10.2,PG,28,SEA,8,39.4,0.441,0.333,0.444,7.0,0.786,2.3,1.6,26.3,7.0,22.3,0.498,30.7,1.1
134,1982,Ray Williams,SG,27,NJN,82,33.3,0.462,0.167,0.474,5.7,0.832,3.5,3.7,20.4,3.6,19.0,0.527,27.4,7.9,SG,27,NJN,2,38.5,0.298,0.4,0.286,2.5,0.8,3.0,5.0,17.0,-2.5,10.7,0.346,30.7,-0.1
139,1983,Kareem Abdul-Jabbar,C,35,LAL,79,32.3,0.588,0.0,0.589,4.7,0.749,2.5,2.8,21.8,4.5,23.6,0.619,24.6,10.9,C,35,LAL,15,39.2,0.568,0.0,0.57,7.1,0.755,3.3,4.1,27.1,5.6,22.8,0.608,26.6,2.1
140,1983,Alvan Adams,C,28,PHO,80,30.6,0.486,0.333,0.487,2.7,0.829,3.0,3.6,14.2,2.5,16.8,0.527,22.0,6.5,C,28,PHO,3,28.0,0.469,,0.469,2.3,0.714,1.7,5.0,11.7,0.6,15.3,0.499,18.8,0.2
141,1983,Danny Ainge,SG,23,BOS,80,25.6,0.496,0.172,0.509,1.2,0.742,1.2,3.2,9.9,0.2,13.2,0.519,16.5,5.2,SG,23,BOS,7,28.7,0.389,0.4,0.388,1.6,0.727,0.9,3.4,9.4,-2.1,8.5,0.429,17.3,0.2
143,1983,Gene Banks,PF,23,SAS,81,33.6,0.55,0.0,0.553,3.4,0.705,2.1,2.8,14.9,1.7,16.7,0.579,17.7,7.9,PF,23,SAS,11,36.2,0.507,,0.507,3.2,0.657,1.9,2.3,15.9,1.3,14.6,0.529,17.8,0.9
144,1983,Larry Bird,PF,26,BOS,79,37.7,0.504,0.286,0.516,5.3,0.84,3.0,2.5,23.6,7.5,24.1,0.561,25.0,14.0,PF,26,BOS,6,40.0,0.422,0.25,0.429,4.8,0.828,3.2,2.5,20.5,7.4,20.3,0.478,25.8,0.7
